Stimulus,d_prime,Block_id
-12.0411998265592,0,210501-113627
-9.11863926091431,0,210501-113627
-6.02059991327962,0,210501-113627
-2.97483328812409,0,210501-113627
-0.0872961080490018,0,210501-113627
-14.8945495527876,0,210503-120942
-12.0411998265592,0,210503-120942
-9.11863926091431,0,210503-120942
-6.02059991327962,0,210503-120942
-2.97483328812409,0,210503-120942
-18.4163752731923,0,210504-193506
-14.8945495527876,0,210504-193506
-12.0411998265592,0,210504-193506
-9.11863926091431,0,210504-193506
-6.02059991327962,0,210504-193506
-18.4163752731923,0,210507-145359
-14.8945495527876,0,210507-145359
-12.0411998265592,0,210507-145359
-9.11863926091431,0,210507-145359
-6.02059991327962,0,210507-145359
-18.4163752731923,0,210509-153436
-14.8945495527876,0,210509-153436
-12.0411998265592,0,210509-153436
-9.11863926091431,0,210509-153436
-6.02059991327962,0,210509-153436
-21.9382004543059,0,210510-115548
-18.4163752731923,0,210510-115548
-14.8945495527876,0,210510-115548
-12.0411998265592,0,210510-115548
-9.11863926091431,0,210510-115548
-21.9382004543059,0,210511-134727
-18.4163752731923,0,210511-134727
-14.8945495527876,0,210511-134727
-12.0411998265592,0,210511-134727
-9.11863926091431,0,210511-134727
-21.9382004543059,0,210512-160447
-18.4163752731923,0,210512-160447
-14.8945495527876,0,210512-160447
-12.0411998265592,0,210512-160447
-9.11863926091431,0,210512-160447
-18.4163752731923,0,210513-161948
-14.8945495527876,0,210513-161948
-12.0411998265592,0,210513-161948
-9.11863926091431,0,210513-161948
-6.02059991327962,0,210513-161948
-21.9382004543059,0,210514-151126
-18.4163752731923,0,210514-151126
-14.8945495527876,0,210514-151126
-12.0411998265592,0,210514-151126
-9.11863926091431,0,210514-151126
-21.9382004543059,0,210516-175249
-18.4163752731923,0,210516-175249
-14.8945495527876,0,210516-175249
-12.0411998265592,0,210516-175249
-9.11863926091431,0,210516-175249
-21.9382004543059,0,210519-110406
-18.4163752731923,0,210519-110406
-14.8945495527876,0,210519-110406
-12.0411998265592,0,210519-110406
-9.11863926091431,0,210519-110406
-14.8945495527876,0,210520-100403
-12.0411998265592,0,210520-100403
-9.11863926091431,0,210520-100403
-6.02059991327962,0,210520-100403
-2.97483328812409,0,210520-100403
